"Discount name","Discount method","Discount type","Discount class","Applied discounts","Discounted orders","Gross sales","Returns","Net sales","Shipping charges","Taxes","Total sales"
"7SWTFREM","discount_code","fixed_amount","order",-200,1,234.78,0,60.87,0,9.13,70
"RU1WILFL","discount_code","fixed_amount","order",-100,1,146.95,0,60,0,9,69
"WYV1YJMC","discount_code","fixed_amount","order",-356,1,365.19,0,55.65,0,8.35,64
"Serenity Premium Only","manual","percentage",,-5402.43,20,4743,0,47.43,0,7.14,54.57
"CG6YTIQ9","discount_code","fixed_amount","order",-100,1,130.44,0,43.48,0,6.52,50
"LEHHUKVJ","discount_code","fixed_amount","order",-100,1,130.44,0,43.48,0,6.52,50
"8XETXFAK","discount_code","fixed_amount","order",-100,1,121.72,0,34.78,0,5.22,40
"LJU6VZZU","discount_code","fixed_amount","order",-500,1,460.91,0,26.09,0,3.91,30
"ORCVQOLH","discount_code","fixed_amount","order",-100,1,113.05,0,26.09,0,3.91,30
"OW5BXZ9Y","discount_code","fixed_amount","order",-100,1,109.56,0,22.61,0,3.39,26
"WP2UFSQJ","discount_code","fixed_amount","order",-49,1,65.22,0,22.61,0,3.39,26
"FZ8NBMSQ","discount_code","fixed_amount","order",-100,1,108.7,0,21.74,0,3.26,25
"81VFPODB","discount_code","fixed_amount","order",-200,1,195.66,0,21.74,0,3.26,25
"EI4CFAJ4","discount_code","fixed_amount","order",-1000,1,891.32,0,21.74,0,3.26,25
"U3KQSDAZ","discount_code","fixed_amount","order",-100,1,104.34,0,17.39,0,2.61,20
"CVIMFUGW","discount_code","fixed_amount","order",-100,1,104.34,0,17.39,0,2.61,20
"EHXKBBKR","discount_code","fixed_amount","order",-100,1,104.34,0,17.39,0,2.61,20
"EMWD2JNV","discount_code","fixed_amount","order",-180,1,173.9,0,17.39,0,2.61,20
"HSSGJWAB","discount_code","fixed_amount","order",-100,1,104.34,0,17.39,0,2.61,20
"SCOFKFTV","discount_code","fixed_amount","order",-26,1,513.03,-473.82,16.61,0,2.5,19.11
"WLKXICM5","discount_code","fixed_amount","order",-1,1,17.38,0,16.52,0,2.48,19
"JNEUMTAQ","discount_code","fixed_amount","order",-100,1,101.72,0,14.78,0,2.22,17
"HRTLST6H","discount_code","fixed_amount","order",-100,1,101.72,0,14.78,0,2.22,17
"PCF9W4LJ","discount_code","fixed_amount","order",-100,1,101.71,0,14.78,0,2.22,17
"SOM7QN9L","discount_code","fixed_amount","order",-100,1,99.97,0,13.04,0,1.96,15
"RT7KBKNE","discount_code","fixed_amount","order",-1,1,17.38,0,11.57,0,1.73,13.3
